Sands_Main,Goblet_Main,Circlet_Main,%ATK,EM,%CRIT_DMG
%ATK,%ATK,%CRIT_DMG,0,6,24
%ATK,%ATK,%CRIT_DMG,1,5,24
%ATK,%ATK,%CRIT_DMG,2,4,24
%ATK,%ATK,%CRIT_DMG,3,3,24
%ATK,%ATK,%CRIT_DMG,4,2,24
%ATK,%ATK,%CRIT_DMG,5,1,24
%ATK,%ATK,%CRIT_DMG,6,0,24
%ATK,%ATK,%CRIT_DMG,0,7,23
%ATK,%ATK,%CRIT_DMG,1,6,23
%ATK,%ATK,%CRIT_DMG,2,5,23
%ATK,%ATK,%CRIT_DMG,3,4,23
%ATK,%ATK,%CRIT_DMG,4,3,23
%ATK,%ATK,%CRIT_DMG,5,2,23
%ATK,%ATK,%CRIT_DMG,6,1,23
%ATK,%ATK,%CRIT_DMG,0,8,22
%ATK,%ATK,%CRIT_DMG,1,7,22
%ATK,%ATK,%CRIT_DMG,2,6,22
%ATK,%ATK,%CRIT_DMG,3,5,22
%ATK,%ATK,%CRIT_DMG,4,4,22
%ATK,%ATK,%CRIT_DMG,5,3,22
%ATK,%ATK,%CRIT_DMG,6,2,22
%ATK,%ATK,%CRIT_DMG,0,9,21
%ATK,%ATK,%CRIT_DMG,1,8,21
%ATK,%ATK,%CRIT_DMG,2,7,21
%ATK,%ATK,%CRIT_DMG,3,6,21
%ATK,%ATK,%CRIT_DMG,4,5,21
%ATK,%ATK,%CRIT_DMG,5,4,21
%ATK,%ATK,%CRIT_DMG,6,3,21
%ATK,%ATK,%CRIT_DMG,0,10,20
%ATK,%ATK,%CRIT_DMG,1,9,20
%ATK,%ATK,%CRIT_DMG,2,8,20
%ATK,%ATK,%CRIT_DMG,3,7,20
%ATK,%ATK,%CRIT_DMG,4,6,20
%ATK,%ATK,%CRIT_DMG,5,5,20
%ATK,%ATK,%CRIT_DMG,6,4,20
%ATK,%ATK,%CRIT_DMG,0,11,19
%ATK,%ATK,%CRIT_DMG,1,10,19
%ATK,%ATK,%CRIT_DMG,2,9,19
%ATK,%ATK,%CRIT_DMG,3,8,19
%ATK,%ATK,%CRIT_DMG,4,7,19
%ATK,%ATK,%CRIT_DMG,5,6,19
%ATK,%ATK,%CRIT_DMG,6,5,19
%ATK,%ATK,%CRIT_DMG,0,12,18
%ATK,%ATK,%CRIT_DMG,1,11,18
%ATK,%ATK,%CRIT_DMG,2,10,18
%ATK,%ATK,%CRIT_DMG,3,9,18
%ATK,%ATK,%CRIT_DMG,4,8,18
%ATK,%ATK,%CRIT_DMG,5,7,18
%ATK,%ATK,%CRIT_DMG,6,6,18
%ATK,%ATK,%CRIT_DMG,0,13,17
%ATK,%ATK,%CRIT_DMG,1,12,17
%ATK,%ATK,%CRIT_DMG,2,11,17
%ATK,%ATK,%CRIT_DMG,3,10,17
%ATK,%ATK,%CRIT_DMG,4,9,17
%ATK,%ATK,%CRIT_DMG,5,8,17
%ATK,%ATK,%CRIT_DMG,6,7,17
%ATK,%ATK,%CRIT_DMG,0,14,16
%ATK,%ATK,%CRIT_DMG,1,13,16
%ATK,%ATK,%CRIT_DMG,2,12,16
%ATK,%ATK,%CRIT_DMG,3,11,16
%ATK,%ATK,%CRIT_DMG,4,10,16
%ATK,%ATK,%CRIT_DMG,5,9,16
%ATK,%ATK,%CRIT_DMG,6,8,16
%ATK,%ATK,%CRIT_DMG,0,15,15
%ATK,%ATK,%CRIT_DMG,1,14,15
%ATK,%ATK,%CRIT_DMG,2,13,15
%ATK,%ATK,%CRIT_DMG,3,12,15
%ATK,%ATK,%CRIT_DMG,4,11,15
%ATK,%ATK,%CRIT_DMG,5,10,15
%ATK,%ATK,%CRIT_DMG,6,9,15
%ATK,%ATK,%CRIT_DMG,0,16,14
%ATK,%ATK,%CRIT_DMG,1,15,14
%ATK,%ATK,%CRIT_DMG,2,14,14
%ATK,%ATK,%CRIT_DMG,3,13,14
%ATK,%ATK,%CRIT_DMG,4,12,14
%ATK,%ATK,%CRIT_DMG,5,11,14
%ATK,%ATK,%CRIT_DMG,6,10,14
%ATK,%ATK,%CRIT_DMG,0,17,13
%ATK,%ATK,%CRIT_DMG,1,16,13
%ATK,%ATK,%CRIT_DMG,2,15,13
%ATK,%ATK,%CRIT_DMG,3,14,13
%ATK,%ATK,%CRIT_DMG,4,13,13
%ATK,%ATK,%CRIT_DMG,5,12,13
%ATK,%ATK,%CRIT_DMG,6,11,13
%ATK,%ATK,%CRIT_DMG,0,18,12
%ATK,%ATK,%CRIT_DMG,1,17,12
%ATK,%ATK,%CRIT_DMG,2,16,12
%ATK,%ATK,%CRIT_DMG,3,15,12
%ATK,%ATK,%CRIT_DMG,4,14,12
%ATK,%ATK,%CRIT_DMG,5,13,12
%ATK,%ATK,%CRIT_DMG,6,12,12
%ATK,%ATK,%CRIT_DMG,0,19,11
%ATK,%ATK,%CRIT_DMG,1,18,11
%ATK,%ATK,%CRIT_DMG,2,17,11
%ATK,%ATK,%CRIT_DMG,3,16,11
%ATK,%ATK,%CRIT_DMG,4,15,11
%ATK,%ATK,%CRIT_DMG,5,14,11
%ATK,%ATK,%CRIT_DMG,6,13,11
%ATK,%ATK,%CRIT_DMG,0,20,10
%ATK,%ATK,%CRIT_DMG,1,19,10
%ATK,%ATK,%CRIT_DMG,2,18,10
%ATK,%ATK,%CRIT_DMG,3,17,10
%ATK,%ATK,%CRIT_DMG,4,16,10
%ATK,%ATK,%CRIT_DMG,5,15,10
%ATK,%ATK,%CRIT_DMG,6,14,10
%ATK,%ATK,%CRIT_DMG,0,21,9
%ATK,%ATK,%CRIT_DMG,1,20,9
%ATK,%ATK,%CRIT_DMG,2,19,9
%ATK,%ATK,%CRIT_DMG,3,18,9
%ATK,%ATK,%CRIT_DMG,4,17,9
%ATK,%ATK,%CRIT_DMG,5,16,9
%ATK,%ATK,%CRIT_DMG,6,15,9
%ATK,%ATK,%CRIT_DMG,0,22,8
%ATK,%ATK,%CRIT_DMG,1,21,8
%ATK,%ATK,%CRIT_DMG,2,20,8
%ATK,%ATK,%CRIT_DMG,3,19,8
%ATK,%ATK,%CRIT_DMG,4,18,8
%ATK,%ATK,%CRIT_DMG,5,17,8
%ATK,%ATK,%CRIT_DMG,6,16,8
%ATK,%ATK,%CRIT_DMG,0,23,7
%ATK,%ATK,%CRIT_DMG,1,22,7
%ATK,%ATK,%CRIT_DMG,2,21,7
%ATK,%ATK,%CRIT_DMG,3,20,7
%ATK,%ATK,%CRIT_DMG,4,19,7
%ATK,%ATK,%CRIT_DMG,5,18,7
%ATK,%ATK,%CRIT_DMG,6,17,7
%ATK,%ATK,%CRIT_DMG,0,24,6
%ATK,%ATK,%CRIT_DMG,1,23,6
%ATK,%ATK,%CRIT_DMG,2,22,6
%ATK,%ATK,%CRIT_DMG,3,21,6
%ATK,%ATK,%CRIT_DMG,4,20,6
%ATK,%ATK,%CRIT_DMG,5,19,6
%ATK,%ATK,%CRIT_DMG,6,18,6
%ATK,%ATK,%CRIT_DMG,7,0,23
%ATK,%ATK,%CRIT_DMG,7,1,22
%ATK,%ATK,%CRIT_DMG,7,2,21
%ATK,%ATK,%CRIT_DMG,7,3,20
%ATK,%ATK,%CRIT_DMG,7,4,19
%ATK,%ATK,%CRIT_DMG,7,5,18
%ATK,%ATK,%CRIT_DMG,7,6,17
%ATK,%ATK,%CRIT_DMG,7,7,16
%ATK,%ATK,%CRIT_DMG,7,8,15
%ATK,%ATK,%CRIT_DMG,7,9,14
%ATK,%ATK,%CRIT_DMG,7,10,13
%ATK,%ATK,%CRIT_DMG,7,11,12
%ATK,%ATK,%CRIT_DMG,7,12,11
%ATK,%ATK,%CRIT_DMG,7,13,10
%ATK,%ATK,%CRIT_DMG,7,14,9
%ATK,%ATK,%CRIT_DMG,7,15,8
%ATK,%ATK,%CRIT_DMG,7,16,7
%ATK,%ATK,%CRIT_DMG,7,17,6
%ATK,%ATK,%CRIT_DMG,8,0,22
%ATK,%ATK,%CRIT_DMG,8,1,21
%ATK,%ATK,%CRIT_DMG,8,2,20
%ATK,%ATK,%CRIT_DMG,8,3,19
%ATK,%ATK,%CRIT_DMG,8,4,18
%ATK,%ATK,%CRIT_DMG,8,5,17
%ATK,%ATK,%CRIT_DMG,8,6,16
%ATK,%ATK,%CRIT_DMG,8,7,15
%ATK,%ATK,%CRIT_DMG,8,8,14
%ATK,%ATK,%CRIT_DMG,8,9,13
%ATK,%ATK,%CRIT_DMG,8,10,12
